PRP$	his	4563	0.383962
PRP$	her	1704	0.143386
PRP$	its	1308	0.110064
PRP$	their	1912	0.160889
PRP$	mah	2	0.000168
PRP$	our	853	0.071777
PRP$	yore	1	0.000084
PRP$	my	862	0.072535
PRP$	your	679	0.057136
VBG	the	1	0.002283
VBG	sockdologizing	1	0.002283
VBG	bein	1	0.002283
VBG	doing	11	0.025114
VBG	comin	4	0.009132
VBG	grokking	4	0.009132
VBG	searching	1	0.002283
VBG	zing	4	0.009132
VBG	developing_and_selling_new_products	1	0.002283
VBG	lovering	1	0.002283
VBG	in	1	0.002283
VBG	takin	2	0.004566
VBG	considering	2	0.004566
VBG	grinning	1	0.002283
VBG	giving	1	0.002283
VBG	stirrin	1	0.002283
VBG	thinkin	2	0.004566
VBG	sighing	1	0.002283
VBG	hitting	1	0.002283
VBG	being	219	0.500000
VBG	obsoleting	1	0.002283
VBG	going	1	0.002283
VBG	chewing	1	0.002283
VBG	orbiting	1	0.002283
VBG	croakin	1	0.002283
VBG	doin	2	0.004566
VBG	cavin	1	0.002283
VBG	big_time_comin	1	0.002283
VBG	concerning	2	0.004566
VBG	gonna	7	0.015982
VBG	questioning	1	0.002283
VBG	boiling	1	0.002283
VBG	crossroading	1	0.002283
VBG	whistling	1	0.002283
VBG	supposing	1	0.002283
VBG	keyboarding	1	0.002283
VBG	goin	4	0.009132
VBG	paying	1	0.002283
VBG	melting	1	0.002283
VBG	providing	2	0.004566
VBG	according_to	1	0.002283
VBG	ki-yi-ing	1	0.002283
VBG	goes_without_saying	1	0.002283
VBG	getting	2	0.004566
VBG	taking	7	0.015982
VBG	breakin	1	0.002283
VBG	according	13	0.029680
VBG	a-coming	2	0.004566
VBG	plunging	1	0.002283
VBG	had_it_coming	1	0.002283
VBG	acording	1	0.002283
VBG	following	21	0.047945
VBG	making	6	0.013699
VBG	finishing	1	0.002283
VBG	receding	1	0.002283
VBG	having	86	0.196347
VBD	stalked	1	0.000146
VBD	blew	1	0.000146
VBD	spooned	1	0.000146
